Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
224,Piotr Lasek; Wojciech Rz?sa; Anna Król,2024,Employing Aggregations of Fuzzy Equivalences in Clustering and Visualization of Medical Data Sets,Procedia Computer Science,Scopus,10.1016/j.procs.2024.09.398,Poland,Medical data analytics; visualization,General medical data,Fuzzy equivalence relations,Clustering; visualization,Improve clustering and visualization of medical datasets using fuzzy equivalences,Medical datasets,Not explicitly reported,Normalization,Fuzzy equivalence aggregation + clustering,Similarity-based grouping,Cluster validity indices,Produces clearer clusters and visual separation,High (equivalence relations interpretable),Experimental validation,Scalability on large datasets,Interactive clinical visualization,Enhances exploratory medical data analysis,Classical,Similarity uncertainty,,Hybrid,Clarity vs scalability,Visualization scalability gap
225,Katarzyna Poczeta; ?ukasz Kubu?; Alexander Yastrebov,2020,Multidimensional medical data modeling based on fuzzy cognitive maps and k-means clustering,Procedia Computer Science,Scopus,10.1016/j.procs.2020.08.013,Poland,Clinical data modeling,General clinical data,Fuzzy Cognitive Maps (FCM),k-means clustering,Model multidimensional medical data using causal fuzzy maps,Medical datasets,Not explicitly reported,Normalization,FCM + k-means hybrid model,Causal reasoning + clustering,Prediction accuracy (typical),Captures causal relations among medical variables,High (causal map transparency),Experimental evaluation,Parameter sensitivity,Real clinical dataset validation,Supports causal understanding of clinical data,Classical,Causal uncertainty,,Hybrid,Interpretability vs tuning effort,Clinical validation gap
226,Marian B. Gorza?czany; Filip Rudzi?ski,2017,Interpretable and accurate medical data classification – multi-objective genetic-fuzzy optimization,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2016.11.017,Poland,Clinical decision support,General medical diagnosis,Fuzzy rule-based systems,Genetic algorithms; multi-objective optimization,Balance interpretability and accuracy in medical classification,Medical datasets,Not explicitly reported,Feature scaling,Genetic-fuzzy multi-objective classifier,Rule-based classification,Accuracy; interpretability indices,Achieves good accuracy with interpretable rules,High (explicit rule sets),Benchmark validation,Computational cost,Clinical-scale optimization,Advances explainable diagnostic models,Hybrid,Rule uncertainty,,Hybrid,Accuracy vs interpretability,Explainable AI trade-off gap
227,Albion Dervishi,2017,Fuzzy risk stratification and risk assessment model for clinical monitoring in the ICU,Computers in Biology and Medicine,Scopus; WoS,10.1016/j.compbiomed.2017.05.034,Kosovo,ICU clinical monitoring,Critical care,Fuzzy risk models (FL),,Stratify patient risk in ICU under uncertainty,Clinical monitoring data,Not explicitly reported,Signal normalization,Fuzzy risk stratification framework,Risk scoring,Sensitivity; specificity (typical),Improves early risk detection in ICU,High (transparent risk rules),Clinical case evaluation,Limited patient diversity,Large-scale ICU trials,Supports early warning in critical care,Classical,Physiological uncertainty,,Standalone,Simplicity vs predictive power,Clinical scalability gap
228,Gunjan Kalra; Yogendra Kumar Rajoria; Rahul Boadh; P. Rajendra; Pratibha Pandey; Naveen Khatak; Ajay Kumar,2022,Fuzzy expert systems for prediction and detection of fraud in health care insurance,Materials Today: Proceedings,Scopus,10.1016/j.matpr.2022.02.157,India,Health insurance analytics,Healthcare finance,Fuzzy expert systems,Rule-based detection,Detect and predict fraudulent insurance claims,Insurance claim data,Not explicitly reported,Data cleaning,Fuzzy expert fraud detection system,Rule-based classification,Detection accuracy,Effectively identifies fraudulent patterns,High (rule-based transparency),Case study / experimental,Evolving fraud patterns,Adaptive learning integration,Enhances insurance fraud prevention,Classical,Linguistic & pattern uncertainty,,Standalone,Interpretability vs adaptability,Fraud evolution gap
229,Agung Triayudi; Dayan Hisni; Ratih Titi Komala Sari,2025,Adaptive multi-source fuzzy co-clustering and knowledge distillation for predicting thyroid cancer recurrence,Informatics in Medicine Unlocked,Scopus; WoS,10.1016/j.imu.2025.101715,Indonesia,Predictive clinical analytics,Oncology (Thyroid cancer),Fuzzy co-clustering (FL),Knowledge distillation; multi-source learning,"Predict thyroid cancer recurrence with interpretable, deployable modeling",Clinical + multi-source patient data,Not explicitly reported,Cleaning; normalization; feature selection,Multi-source fuzzy co-clustering + distillation model,Prediction-based decision support,AUC; accuracy (typical),Improves recurrence prediction with better deployability,Moderate–High (cluster structure can support interpretability),Experimental validation,Data heterogeneity; external validity,Multi-center clinical validation,Supports risk-aware oncology follow-up planning,Hybrid,Multi-source uncertainty via fuzzy clustering,,Hybrid,Performance vs interpretability,External validation gap
230,Agnieszka Jastrzebska; Alejandro Morales Hernández; Gonzalo Nápoles; Yamisleydi Salgueiro; Koen Vanhoof,2022,Measuring wind turbine health using fuzzy-concept-based drifting models,Renewable Energy,Scopus; WoS,10.1016/j.renene.2022.03.116,Poland,Health monitoring (method transferable),Not medical (wind turbines),Fuzzy concept drift models,Concept drift modeling,Measure “health” with drifting fuzzy concepts under changing conditions,Sensor/SCADA data,Not explicitly reported,Signal preprocessing,Fuzzy drifting concept model,Health-state estimation,RMSE/accuracy (typical),Improves health assessment under non-stationarity,Moderate (concept rules interpretable),Experimental evaluation,Not a healthcare domain study,Transfer to biomedical device monitoring,Method transferable to health-informatics monitoring,Hybrid,Drift/temporal uncertainty,,Hybrid,Robustness vs complexity,Domain transfer gap
231,D. Karunanidhi; M. Rhishi Hari Raj; N. Subba Rao; T. Subramani,2025,Fuzzy logic model-based health hazard appraisal for perchlorate-rich groundwater (Southern India),Hazards Advances,Scopus,10.1016/j.hazadv.2025.100747,India,Environmental health risk assessment,Public/environmental health,Fuzzy logic (FL),Multi-criteria risk appraisal,Appraise health hazards from contaminated groundwater using fuzzy logic,Water quality measurements,Not explicitly reported,Normalization; thresholding,Fuzzy risk appraisal model,Risk scoring,Risk index values,Produces interpretable hazard levels under uncertainty,High (rule-based risk levels),Case study validation,Exposure/health linkage limited,Integrate epidemiological outcomes,Supports public health risk communication,Classical,Measurement + threshold uncertainty,Implicit,Hybrid,Interpretability vs causal linkage,Exposure-outcome linkage gap
232,Shouvik Chakraborty; Kalyani Mali,2022,Biomedical image segmentation using fuzzy multilevel soft thresholding with modified cuckoo search,Biomedical Signal Processing and Control,Scopus; WoS,10.1016/j.bspc.2021.103324,India,Medical image segmentation,Radiology / Imaging,Fuzzy multilevel thresholding (FL),Metaheuristic optimization (modified cuckoo search),Improve segmentation via optimized fuzzy thresholding,Medical imaging datasets,Not explicitly reported,Denoising; normalization,Fuzzy multilevel thresholding + modified cuckoo search,Segmentation decision support,Dice; PSNR (typical),Improves segmentation quality vs baselines,Moderate (threshold rules interpretable; search adds complexity),Benchmark evaluation,Parameter sensitivity; compute cost,Real-time optimization strategies,Enhances imaging segmentation quality,Hybrid,Intensity/threshold uncertainty,,Hybrid,Quality vs computation,Real-time deployment gap
233,Amir Mohammad Fathollahi-Fard; Abbas Ahmadi; Fariba Goodarzian; Naoufel Cheikhrouhou,2020,Bi-objective home healthcare routing and scheduling considering patients’ satisfaction in a fuzzy environment,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2020.106385,Iran,Home healthcare operations optimization,Home care services,Fuzzy sets (FL),Bi-objective optimization,Optimize routing/scheduling balancing cost and patient satisfaction under uncertainty,Routing/scheduling operational data,Not explicitly reported,Data normalization,Bi-objective fuzzy routing & scheduling model,Optimization-based decision support,Cost; satisfaction; runtime,Finds trade-offs between efficiency and satisfaction,Moderate (objective-level transparency),Computational experiments,Real-world constraints and data availability,Hospital/agency deployment studies,Improves home healthcare logistics planning,Hybrid,Demand/satisfaction uncertainty,,Hybrid,Satisfaction vs cost,Real-world implementation gap
234,Yu-Feng Yu; Guojin Zhong; Yi Zhou; Long Chen,2023,FS-GAN: Fuzzy self-guided structure retention GAN for medical image enhancement,Information Sciences,Scopus; WoS,10.1016/j.ins.2023.119114,China,Medical image enhancement,Radiology / Imaging,Fuzzy self-guidance (FL),GAN (DL),Enhance medical images while retaining structure using fuzzy-guided GAN,Medical imaging datasets,Not explicitly reported,Normalization; augmentation (typical),GAN with fuzzy self-guided structure retention module,Enhancement decision support,PSNR; SSIM (typical),Improves image quality while preserving anatomical structure,Moderate (fuzzy guidance partly interpretable; GAN complex),Benchmark validation,Training instability; compute cost,Clinically validated enhancement pipelines,Supports improved image interpretability for clinicians,Hybrid,Structure-preservation uncertainty,,Hybrid,Quality vs stability,Clinical validation gap
235,P. Memari; R. Tavakkoli-Moghaddam; M. Partovi; A. Zabihian,2018,Fuzzy dynamic location-allocation with temporary multi-medical centers in disaster management,IFAC-PapersOnLine,Scopus,10.1016/j.ifacol.2018.08.275,Iran,Disaster health logistics,Emergency healthcare,Fuzzy sets (FL),Dynamic optimization,Allocate temporary medical centers under uncertain disaster demand,Disaster scenario data,Not explicitly reported,Scenario normalization,Dynamic fuzzy location-allocation model,Optimization-based decisions,Cost; coverage metrics,Improves allocation decisions under demand uncertainty,Moderate (objective-level transparency),Computational experiments,Real-world constraints not fully modeled,Field deployment simulations,Supports emergency medical planning,Hybrid,Demand uncertainty,,Hybrid,Coverage vs cost,Real-world validation gap
236,Anna Sk?ad,2019,Assessing process impacts on OSH management system effectiveness using fuzzy cognitive maps,Safety Science,Scopus; WoS,10.1016/j.ssci.2019.03.021,Poland,Occupational health analytics,Occupational safety & health,Fuzzy Cognitive Maps (FCM),,Model how processes influence OSH management effectiveness,Organizational indicators,Not explicitly reported,Indicator calibration,FCM-based assessment model,Causal reasoning,Influence scores,Identifies high-impact processes for OSH improvement,High (causal map interpretability),Case study,Subjectivity in mapping weights,Data-driven FCM calibration,Supports safety performance improvement,Classical,Causal uncertainty,,Standalone,Interpretability vs subjectivity,Evidence calibration gap
237,V. Asanambigai; J. Sasikala,2018,Adaptive chemical reaction based spatial fuzzy clustering for level set medical image segmentation,Alexandria Engineering Journal,Scopus; WoS,10.1016/j.aej.2016.08.003,India,Medical image segmentation,Radiology / Imaging,Spatial fuzzy clustering (FL),Chemical reaction optimization,Improve level-set segmentation via optimized spatial fuzzy clustering,Medical imaging datasets,Not explicitly reported,Denoising; normalization,Spatial fuzzy clustering + level set with CRO optimization,Segmentation decision support,Dice; accuracy (typical),Improves segmentation accuracy and convergence,Moderate (method interpretable; optimizer complex),Benchmark evaluation,Parameter sensitivity,Automated hyperparameter tuning,Enhances robust segmentation pipelines,Hybrid,Spatial/boundary uncertainty,,Hybrid,Accuracy vs tuning complexity,Automation gap
238,Rakesh Kumar Mahendran; Parthasarathy Velusamy,2020,Secure fuzzy extractor biometric key authentication for body sensor networks in IoMT,Computer Communications,Scopus; WoS,10.1016/j.comcom.2020.01.077,India,IoMT security; authentication,Body sensor networks,Fuzzy extractor,Cryptography; security protocol,Secure biometric key generation/authentication under noisy biometric signals,Biometric sensor features,Not explicitly reported,Feature normalization,Fuzzy extractor-based key authentication scheme,Authentication decision,FAR/FRR; key agreement (typical),Improves secure authentication robustness,Moderate (protocol transparent; math complex),Security analysis + experiments,Resource constraints on sensors,Lightweight privacy-preserving schemes,Strengthens secure IoMT deployments,Hybrid,Biometric noise uncertainty,,Hybrid,Security vs resource cost,Resource constraint gap
